rownumber,animalgender,breedname,borough,zipcode
105260,M,Cocker Spaniel,Brooklyn,11201
105261,F,Terrier Crossbreed,Queens,11432
105262,M,Pug Crossbreed,Brooklyn,11208
105263,M,West Highland White Terrier,Staten Island,10309
105264,M,Miniature Schnauzer,Queens,11101
105265,M,Italian Greyhound,Brooklyn,11222
105266,F,Bulldog,Brooklyn,11222
105267,F,Yorkshire Terrier,Queens,11101
105268,F,Boxer,Manhattan,10025
105269,F,American Pit Bull Terrier/Pit Bull,Staten Island,10312
105270,F,Australian Shepherd,Manhattan,10010
105271,M,Chow Chow,Manhattan,10003
105272,M,Brussels Griffon,Queens,11355
105273,M,Maltese Crossbreed,Bronx,10473
105274,F,Terrier Crossbreed,Queens,11414
105275,M,Not Listed,Brooklyn,11215
105276,F,Labrador Retriever,Staten Island,10302
105277,M,Shiba Inu,Staten Island,10305
105278,M,Not Listed,Queens,11377
105279,F,Beagle,Bronx,10454
105280,F,Basenji,Queens,11373
105281,F,Chihuahua,Brooklyn,11205
105282,M,Dachshund Smooth Coat,Manhattan,10025
105283,F,Yorkshire Terrier,Manhattan,10030
105284,M,Bichon Frise,Staten Island,10314
105285,F,Norfolk Terrier,Bronx,10464
105286,M,Poodle Crossbreed,Staten Island,10309
105287,M,Yorkshire Terrier,Staten Island,10314
105288,F,Yorkshire Terrier,Manhattan,10019
105289,F,American Pit Bull Terrier/Pit Bull,Manhattan,10029
105290,M,Chihuahua,Brooklyn,11211
105291,M,Yorkshire Terrier,Brooklyn,11208
105292,F,Maltipoo,Brooklyn,11213
105293,F,American Staffordshire Terrier ,Brooklyn,11211
105294,M,Wheaton Terrier,Manhattan,10013
105295,M,Yorkshire Terrier,Staten Island,10314
105296,M,Not Listed,Manhattan,10009
105297,M,Not Listed,Manhattan,10036
105298,M,Not Listed,Staten Island,10314
105299,M,Not Listed,Staten Island,10305
105300,F,Chihuahua,Bronx,10458
105301,F,English Bulldog,Queens,11375
105302,M,French Bulldog,Manhattan,10033
105303,F,Bearded Collie,Manhattan,10028
105304,F,Not Listed,Bronx,10452
105305,M,Chihuahua,Manhattan,10002
105306,M,Labrador Retriever,Manhattan,10031
105307,F,Cairn Terrier,Queens,11375
105308,M,Not Listed,Brooklyn,11236
105309,F,Not Listed,Manhattan,10034
105310,F,Siberian Husky,Brooklyn,11217
105311,M,Pomeranian,Manhattan,10016
105312,M,Shih Tzu,Queens,11418
105313,F,Jack Russell Terrier,Brooklyn,11215
105314,M,Shih Tzu,Manhattan,10016
105315,F,Labrador Retriever Crossbreed,Brooklyn,11216
105316,M,Brittany,Staten Island,10306
105317,F,Border Terrier,Manhattan,10025
105318,F,Poodle,Queens,11109
105319,M,Poodle,Queens,11418
105320,F,Wirehaired Miniature Dachshund,Manhattan,10016
105321,F,Labrador Retriever,Brooklyn,11234
