rownumber,animalgender,breedname,borough,zipcode
47793,F,Chow Chow,Queens,11385
48071,M,Pug,Queens,11357
50583,F,Pug,Manhattan,10003
52086,M,Not Listed,Bronx,10456
52822,M,Not Listed,Bronx,10473
52932,M,Maltese,Queens,11105
54241,F,Basenji,Manhattan,10065
54483,M,Havanese,Manhattan,10035
55437,F,Pug,Manhattan,10003
58027,F,Shih Tzu,Brooklyn,11224
58267,F,Not Listed,Queens,11378
60758,F,Not Listed,Brooklyn,11229
61685,M,Not Listed,Brooklyn,11230
61933,M,Not Listed,Queens,11375
62433,F,Chihuahua,Brooklyn,11215
62647,M,Shih Tzu,Queens,11368
63181,M,Pug,Bronx,10464
63299,F,Pug,Brooklyn,11209
63577,F,Maltese,Queens,11429
63826,M,Chow Chow,Manhattan,10011
64325,M,Akita,Queens,11372
64448,F,Not Listed,Manhattan,10031
64548,M,Pug,Bronx,10462
65159,M,Pug,Bronx,10465
65652,F,Maltese,Brooklyn,11235
66254,M,Pug,Queens,11103
67051,F,Not Listed,Brooklyn,11215
67388,F,Lhasa Apso,Brooklyn,11235
68383,F,Not Listed,Manhattan,10025
68631,F,Shih Tzu,Brooklyn,11209
70675,M,Maltese,Queens,11416
71021,M,Puggle,Brooklyn,11231
71385,M,Shih Tzu,Queens,11106
71726,F,Not Listed,Staten Island,10305
72161,F,Chihuahua,Manhattan,10035
72193,F,Beagle,Manhattan,10021
73177,F,Boxer,Queens,11428
74383,F,Shih Tzu,Bronx,10474
75173,M,Not Listed,Bronx,10462
76526,F,Maltese,Brooklyn,11233
76715,M,Not Listed,Bronx,10471
77026,M,Maltese,Brooklyn,11214
77550,M,Not Listed,Queens,11364
77582,M,Shih Tzu,Bronx,10467
80636,M,Not Listed,Brooklyn,11237
80667,M,Cocker Spaniel,Queens,11413
81693,F,Pug,Brooklyn,11204
85093,F,Morkie,Brooklyn,11225
86424,F,Pug,Manhattan,10007
86857,M,Chihuahua,Manhattan,10009
88274,M,Puggle,Queens,11385
88931,M,Pug,Staten Island,10303
89059,M,Boxer,Queens,11109
89334,F,Beagle,Brooklyn,11221
89373,M,Maltese,Bronx,10454
90174,M,Maltese,Queens,11414
90453,F,Maltese,Queens,11375
91009,M,Lhasa Apso,Manhattan,10016
91286,F,Not Listed,Queens,11428
91624,M,Maltese,Brooklyn,11236
94931,M,Chihuahua,Bronx,10460
96746,F,Morkie,Bronx,10455
97047,M,Pug,Queens,11414
97409,F,Not Listed,Queens,11363
97843,F,Pug,Manhattan,10025
99358,F,Not Listed,Manhattan,10024
101091,M,Puggle,Queens,11421
101307,M,Not Listed,Bronx,10469
102763,M,Not Listed,Queens,11357
103230,F,Maltese,Manhattan,10032
103433,F,Pug,Queens,11377
105343,M,Pug,Brooklyn,11215
106386,F,Not Listed,Bronx,10463
109913,M,Not Listed,Bronx,10465
110958,F,Not Listed,Manhattan,10023
112181,F,Not Listed,Queens,11417
112712,F,Maltese,Queens,11421
113486,M,Maltese,Manhattan,10025
114941,F,Not Listed,Brooklyn,11217
115518,F,Beagle,Queens,11101
120475,M,Puggle,Queens,11374
120587,F,Pug,Bronx,10463
120808,M,Pug,Manhattan,10033
120943,F,Not Listed,Bronx,10473
121295,M,Not Listed,Brooklyn,11210
45299,F,Yorkshire Terrier,Manhattan,10030
45300,F,Standard Schnauzer,Manhattan,10023
45301,M,Not Listed,Queens,11375
45302,F,Australian Shepherd,Queens,11357
45303,M,Shih Tzu,Brooklyn,11226
45304,M,Maltese,Bronx,10452
45305,F,Miniature Schnauzer,Brooklyn,11238
45306,M,West Highland White Terrier,Staten Island,10304
45307,F,Cocker Spaniel,Manhattan,10003
45308,F,Not Listed,Bronx,10452
45309,M,Labrador Retriever Crossbreed,Brooklyn,11206
45310,M,Poodle Crossbreed,Brooklyn,11238
45311,M,Poodle Crossbreed,Bronx,10452
45312,F,German Shepherd Crossbreed,Brooklyn,11223
45313,M,Australian Shepherd,Bronx,10461
45314,F,Catahoula Leopard Dog,Manhattan,10023
45315,F,Pembroke Welsh Corgi,Brooklyn,11215
45316,M,American Pit Bull Mix / Pit Bull Mix,Staten Island,10303
45317,M,Australian Shepherd,Manhattan,10016
45318,M,Yorkshire Terrier,Manhattan,10009
45319,F,Terrier Crossbreed,Manhattan,10022
45320,F,American Staffordshire Terrier ,Bronx,10465
45321,F,American Pit Bull Terrier/Pit Bull,Queens,11420
45322,F,American Staffordshire Terrier ,Bronx,10465
45323,M,Greyhound,Staten Island,10302
45324,F,Silky Terrier,Manhattan,10009
45325,M,Yorkshire Terrier,Queens,11375
45326,F,Yorkshire Terrier,Bronx,10465
45327,F,Miniature Schnauzer,Brooklyn,11213
45328,M,Yorkshire Terrier,Staten Island,10307
45329,M,Shiba Inu,Manhattan,10033
45330,F,Labrador Retriever,Manhattan,10009
45331,F,Norfolk Terrier,Brooklyn,11211
45332,M,Ibizan Hound,Manhattan,10005
45333,F,Not Listed,Queens,11374
45334,M,American Pit Bull Mix / Pit Bull Mix,Manhattan,10029
45335,F,Golden Retriever,Manhattan,10022
45336,F,Shih Tzu Crossbreed,Queens,11413
45337,F,Old English Sheepdog,Brooklyn,11222
45338,M,Basset Hound,Queens,11365
45339,M,Chihuahua,Manhattan,10065
45340,F,American Pit Bull Terrier/Pit Bull,Staten Island,10301
45341,M,Not Listed,Brooklyn,11218
45342,M,Bichon Frise,Staten Island,10306
45343,F,Labrador Retriever,Staten Island,10310
45344,M,Australian Shepherd,Manhattan,10001
45345,F,Chow Chow,Manhattan,10032
45346,F,French Bulldog,Manhattan,10023
45347,M,Beagle,Brooklyn,11237
45348,M,Not Listed,Manhattan,10024
45349,M,Cairn Terrier,Manhattan,10024
45350,M,Not Listed,Manhattan,10029
45351,M,Chihuahua Crossbreed,Queens,11414
45352,M,Morkie,Queens,11379
45353,F,German Shepherd Crossbreed,Brooklyn,11215
45354,F,Not Listed,Manhattan,10037
45355,M,Australian Shepherd,Manhattan,10003
45356,M,Maltese,Brooklyn,11217
45357,M,Miniature Poodle,Queens,11368
45358,F,Cocker Spaniel,Manhattan,10022
45359,M,Yorkshire Terrier,Brooklyn,11201
45360,F,Maltese,Queens,11385
45361,F,Maltese,Manhattan,10021
45362,F,Yorkshire Terrier,Queens,11369
45363,M,Yorkshire Terrier,Queens,11106
45364,F,Cocker Spaniel,Queens,11105
45365,F,Not Listed,Manhattan,10029
45366,F,Cavalier King Charles Spaniel,Manhattan,10028
45367,M,Shiba Inu,Staten Island,10314
45368,M,Jack Russell Terrier,Staten Island,10306
45369,M,American Pit Bull Mix / Pit Bull Mix,Bronx,10466
45370,M,Shih Tzu,Queens,11414
45371,F,Poodle Crossbreed,Manhattan,10011
45372,M,Maltese,Brooklyn,11209
45373,F,Pointer,Manhattan,10010
45374,M,Bulldog,Brooklyn,11221
45375,F,Pug,Queens,11365
45376,F,Labrador Retriever Crossbreed,Manhattan,10025
45377,F,Not Listed,Brooklyn,11229
45378,F,Chihuahua Crossbreed,Manhattan,10009
45379,F,Not Listed,Brooklyn,11215
45380,F,American Pit Bull Mix / Pit Bull Mix,Bronx,10452
45381,F,Labrador Retriever,Brooklyn,11235
45382,M,Cavalier King Charles Spaniel,Queens,11377
45383,F,Tibetan Terrier,Manhattan,10024
45384,M,Yorkshire Terrier,Brooklyn,11212
45385,F,Morkie,Brooklyn,11205
45386,M,Chinese Shar-Pei,Queens,11385
45387,F,American Pit Bull Terrier/Pit Bull,Brooklyn,11224
45388,F,Wire Fox Terrier,Staten Island,10314
45389,M,Cairn Terrier,Queens,11378
45390,F,Toy Poodle,Manhattan,10013
45391,M,Labrador Retriever Crossbreed,Queens,11374
45392,M,Havanese,Manhattan,10128
45393,M,German Shepherd Dog,Manhattan,10024
45394,M,Not Listed,Bronx,10461
45395,M,Not Listed,Queens,11368
45396,M,Havanese,Queens,11378
45397,M,Havanese,Staten Island,10309
45398,M,Labrador Retriever Crossbreed,Manhattan,10021
45399,F,Terrier Crossbreed,Manhattan,10034
45400,F,Terrier Crossbreed,Brooklyn,11229
45401,M,Pomeranian,Brooklyn,11232
45402,F,German Shepherd Dog,Manhattan,10035
45403,M,Boston Terrier,Manhattan,10010
45404,M,Beagle,Staten Island,10314
45405,M,Labrador Retriever Crossbreed,Staten Island,10310
45406,M,Miniature Schnauzer,Queens,11358
45407,M,Shih Tzu,Brooklyn,11221
45408,F,Labrador Retriever Crossbreed,Queens,11101
45409,M,Terrier Crossbreed,Manhattan,10009
45410,F,Pembroke Welsh Corgi,Brooklyn,11213
45411,F,Labrador Retriever,Manhattan,10023
45412,M,Siberian Husky,Manhattan,10002
45413,M,Shiba Inu,Manhattan,10002
45414,F,Shih Tzu,Queens,11377
45415,M,Shiba Inu,Brooklyn,11221
45416,M,Miniature Pinscher,Manhattan,10038
45417,M,Yorkshire Terrier,Bronx,10462
45418,M,Pug,Staten Island,10306
45419,F,American Pit Bull Mix / Pit Bull Mix,Staten Island,10312
45420,F,Not Listed,Manhattan,10016
45421,M,Labrador Retriever Crossbreed,Brooklyn,11225
45422,M,Shih Tzu,Queens,11432
45423,M,Jack Russell Terrier,Manhattan,10010
45424,F,American Pit Bull Mix / Pit Bull Mix,Brooklyn,11238
45425,M,French Bulldog,Queens,11360
45426,F,Maltese,Queens,11374
45427,M,Poodle,Bronx,10461
45428,F,Not Listed,Manhattan,10065
45429,M,Siberian Husky,Queens,11368
45430,M,Pomeranian,Brooklyn,11212
45431,F,American Pit Bull Mix / Pit Bull Mix,Bronx,10467
45432,F,Maltese,Queens,11373
45433,F,Chihuahua,Brooklyn,11249
45434,F,Siberian Husky,Bronx,10467
45435,F,Staffordshire Bull Terrier,Staten Island,10307
45436,M,Labrador Retriever,Brooklyn,11216
45437,M,Maltese,Queens,11385
45438,F,French Bulldog,Manhattan,10028
45439,F,Not Listed,Queens,11377
45440,F,Cavalier King Charles Spaniel,Manhattan,10028
45441,M,Shih Tzu,Brooklyn,11209
45442,M,Border Terrier,Brooklyn,11205
45443,M,Chihuahua,Brooklyn,11214
45444,F,Australian Shepherd,Manhattan,10034
45445,F,Beagle Crossbreed,Brooklyn,11236
45446,M,Chihuahua,Queens,11426
45447,M,Labrador Retriever Crossbreed,Manhattan,10036
45448,F,American Pit Bull Terrier/Pit Bull,Queens,11379
45449,M,Labrador Retriever Crossbreed,Brooklyn,11221
45450,F,American Pit Bull Mix / Pit Bull Mix,Brooklyn,11205
45451,M,Maltese,Bronx,10452
45452,M,Miniature Poodle,Bronx,10466
45453,M,Boston Terrier,Manhattan,10027
45454,F,Papillon,Brooklyn,11209
45455,M,Pug,Brooklyn,11201
45456,M,Beagle,Queens,11385
45457,M,Yorkshire Terrier,Queens,11374
45458,M,Labrador Retriever,Brooklyn,11204
45459,M,Australian Shepherd,Brooklyn,11211
45460,M,German Shepherd Crossbreed,Brooklyn,11209
45461,F,German Shepherd Dog,Manhattan,10128
45462,M,American Pit Bull Terrier/Pit Bull,Bronx,10453
45463,M,Whippet,Manhattan,10023
45464,M,Chihuahua,Manhattan,10023
45465,M,German Shepherd Dog,Brooklyn,11206
45466,M,Jack Russell Terrier,Manhattan,10023
45467,M,Shih Tzu,Bronx,10472
45468,F,Morkie,Brooklyn,11218
45469,F,Yorkshire Terrier,Brooklyn,11230
45470,F,Miniature Schnauzer,Queens,11105
45471,M,Maltese,Queens,11368
45472,M,German Shepherd Crossbreed,Brooklyn,11221
45473,F,American Pit Bull Terrier/Pit Bull,Brooklyn,11226
45474,M,Miniature Pinscher,Bronx,10468
45475,F,Not Listed,Brooklyn,11201
45476,F,Beagle Crossbreed,Bronx,10469
45477,M,St. Bernard,Manhattan,10011
45478,M,Australian Cattle Dog,Brooklyn,11215
45479,F,Beagle,Queens,11427
45480,F,Not Listed,Manhattan,10025
45481,F,Yorkshire Terrier,Bronx,10462
45482,M,Jack Russell Terrier,Manhattan,10024
45483,M,Poodle Crossbreed,Queens,11434
45484,F,Terrier Crossbreed,Brooklyn,11215
45485,M,Jack Russell Terrier,Manhattan,11205
45486,F,Puggle,Manhattan,10128
45487,M,Golden Retriever,Brooklyn,11234
45488,M,Not Listed,Queens,11356
45489,F,Cavalier King Charles Spaniel,Manhattan,10016
45490,M,Chihuahua Crossbreed,Manhattan,10032
45491,M,Jack Russell Terrier,Brooklyn,11207
45492,M,Not Listed,Brooklyn,11221
45493,F,Doberman Pinscher,Queens,11106
45494,F,Australian Cattle Dog,Manhattan,10026
45495,F,Not Listed,Manhattan,10019
45496,F,Shih Tzu,Manhattan,10016
45497,M,Cavalier King Charles Spaniel,Manhattan,10021
45498,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,11207
45499,F,Maltese Crossbreed,Queens,11358
45500,F,Shih Tzu,Staten Island,10305
45501,F,Yorkshire Terrier,Manhattan,10022
45502,F,French Bulldog,Manhattan,10014
45503,F,Yorkshire Terrier,Brooklyn,11239
45504,M,Labradoodle,Manhattan,10025
45505,M,Chihuahua,Brooklyn,11238
45506,F,Labrador Retriever,Brooklyn,11230
45507,M,Shih Tzu Crossbreed,Manhattan,10026
45508,F,Yorkshire Terrier,Bronx,10462
45509,M,Not Listed,Brooklyn,11235
45510,F,Dachshund Smooth Coat,Staten Island,10308
45511,F,Maltese,Manhattan,10019
45512,M,Chihuahua Crossbreed,Manhattan,10038
45513,M,Yorkshire Terrier,Staten Island,10314
45514,M,Yorkshire Terrier,Queens,11356
45515,F,Not Listed,Manhattan,10040
45516,M,American Pit Bull Mix / Pit Bull Mix,Manhattan,10010
45517,M,Chihuahua,Bronx,10462
45518,M,American Pit Bull Terrier/Pit Bull,Manhattan,10026
45519,F,German Shepherd Crossbreed,Brooklyn,11201
45520,F,American Pit Bull Mix / Pit Bull Mix,Queens,11101
45521,F,Not Listed,Bronx,10473
45522,F,Scottish Terrier,Brooklyn,11222
45523,M,American Staffordshire Terrier ,Brooklyn,11236
45524,M,Yorkshire Terrier,Brooklyn,11225
45525,F,Not Listed,Manhattan,10028
45526,M,German Shepherd Dog,Brooklyn,11207
45527,M,Labrador Retriever,Manhattan,10013
45528,M,Collie Crossbreed,Brooklyn,11215
45529,F,Yorkshire Terrier,Manhattan,10023
45530,F,Yorkshire Terrier,Bronx,10455
45531,M,Shih Tzu,Bronx,10467
45532,F,Chihuahua,Brooklyn,11231
45533,F,Boxer,Manhattan,10006
45534,M,Chihuahua,Manhattan,10023
45535,M,Golden Retriever,Queens,11361
45536,F,Not Listed,Brooklyn,11212
45537,F,Siberian Husky,Brooklyn,11221
45538,F,Yorkshire Terrier,Bronx,10473
45539,M,Not Listed,Queens,11427
45540,F,Not Listed,Manhattan,10016
45541,M,Miniature Schnauzer,Manhattan,10031
45542,F,Lagotto Romagnolo,Manhattan,10016
45543,F,Labrador Retriever,Brooklyn,11231
45544,M,American Pit Bull Terrier/Pit Bull,Brooklyn,11222
45545,F,Havanese,Bronx,10460
45546,F,Bichon Frise,Queens,11436
45547,M,Miniature Poodle,Bronx,10468
45548,M,Boston Terrier,Queens,11109
45549,F,Maltipoo,Queens,11412
45550,F,Bichon Frise,Manhattan,10028
45551,F,Beagle Crossbreed,Brooklyn,11215
45552,F,Wheaton Terrier,Manhattan,10019
45553,F,Yorkshire Terrier,Brooklyn,11209
45554,F,Cocker Spaniel,Manhattan,10011
45555,M,Golden Retriever,Manhattan,10023
45556,F,Maltipoo,Manhattan,10014
45557,M,Cairn Terrier,Bronx,10456
45558,M,Boxer,Staten Island,10309
45559,M,Border Collie,Manhattan,10005
45560,M,Yorkshire Terrier,Manhattan,10011
45561,M,Chihuahua,Bronx,10472
45562,M,West Highland White Terrier,Staten Island,10302
45563,F,Dachshund,Bronx,10464
45564,M,Chihuahua,Manhattan,10028
45565,M,Yorkshire Terrier,Queens,7013
45566,M,English Bulldog,Manhattan,10011
45567,M,Labrador Retriever Crossbreed,Brooklyn,11221
45568,F,Not Listed,Manhattan,10025
45569,F,Irish Setter,Manhattan,10010
45570,M,Dachshund,Bronx,10464
45571,M,Irish Terrier,Manhattan,10024
45572,F,Jindo,Queens,11109
45573,F,Not Listed,Brooklyn,11217
45574,F,Poodle,Brooklyn,11223
45575,F,Cocker Spaniel,Manhattan,10009
45576,F,Cavalier King Charles Spaniel,Manhattan,10021
45577,M,Pekingese,Manhattan,10029
45578,M,Morkie,Bronx,10461
45579,M,Yorkshire Terrier,Brooklyn,11208
45580,M,Miniature Schnauzer,Bronx,10455
45581,F,Beagle,Brooklyn,11209
45582,M,Poodle,Bronx,10468
45583,M,Shiba Inu,Queens,11109
45584,M,Beagle,Brooklyn,11231
45585,F,American Pit Bull Terrier/Pit Bull,Brooklyn,11236
45586,F,Great Dane,Queens,11426
45587,F,Not Listed,Manhattan,10028
45588,M,Wheaton Terrier,Queens,11418
45589,F,Not Listed,Queens,11365
45590,F,German Shepherd Crossbreed,Queens,11426
45591,M,Goldendoodle,Manhattan,10023
45592,M,Brussels Griffon,Brooklyn,11236
45593,M,Border Terrier,Queens,11102
45594,F,Labrador Retriever,Brooklyn,11211
45595,F,Labrador Retriever,Brooklyn,11217
45596,F,Beagle,Manhattan,10038
45597,M,Doberman Pinscher,Staten Island,10306
45598,F,English Bulldog,Brooklyn,11211
45599,F,Shih Tzu,Brooklyn,11212
45600,M,Labrador Retriever,Brooklyn,11234
45601,M,English Bulldog,Manhattan,10028
45602,M,American Eskimo dog,Manhattan,10021
45603,M,Yorkshire Terrier,Manhattan,10032
45604,F,Maltese,Brooklyn,11218
45605,M,Not Listed,Brooklyn,11204
45606,M,Chihuahua,Brooklyn,11225
45607,F,Not Listed,Queens,11385
45608,M,Bichon Frise,Queens,11372
45609,M,Poodle,Queens,11357
45610,M,Yorkshire Terrier,Brooklyn,11234
45611,F,Boston Terrier,Brooklyn,11222
45612,F,Jack Russell Terrier,Brooklyn,11231
45613,M,Siberian Husky,Queens,11375
45614,M,Yorkshire Terrier,Bronx,10462
45615,M,Golden Retriever,Staten Island,10310
45616,F,Yorkshire Terrier,Bronx,10462
45617,M,Labrador Retriever Crossbreed,Brooklyn,11225
45618,M,Golden Retriever,Manhattan,10004
45619,M,Flat-Coated Retriever,Queens,11370
45620,M,Not Listed,Manhattan,10009
45621,M,Beagle Crossbreed,Manhattan,10014
45622,F,Collie Crossbreed,Manhattan,10025
45623,F,Chihuahua Crossbreed,Queens,11357
45624,M,Samoyed,Brooklyn,11216
45625,F,German Shepherd Crossbreed,Brooklyn,11218
45626,F,Italian Greyhound,Brooklyn,11225
45627,F,Yorkshire Terrier,Queens,11105
45628,F,Siberian Husky,Bronx,10462
45629,F,Cairn Terrier,Manhattan,10024
45630,F,Not Listed,Manhattan,10128
45631,M,Havanese,Manhattan,10022
45632,F,Not Listed,Queens,11358
45633,M,Labradoodle,Brooklyn,11215
45634,F,Not Listed,Bronx,10466
45635,M,Labrador Retriever Crossbreed,Manhattan,10026
45636,F,Labradoodle,Bronx,10463
45637,F,Maltese,Brooklyn,11234
45638,M,Pug,Brooklyn,11217
45639,M,Shih Tzu,Bronx,10468
45640,M,German Shepherd Dog,Manhattan,10025
45641,M,Yorkshire Terrier,Bronx,10463
45642,F,Not Listed,Manhattan,10012
45643,F,Not Listed,Manhattan,10022
45644,F,Labradoodle,Manhattan,10128
45645,F,Chihuahua,Brooklyn,11222
45646,F,Maltese,Manhattan,10065
45647,M,Not Listed,Manhattan,10036
45648,F,Yorkshire Terrier,Manhattan,10023
45649,F,Yorkshire Terrier,Queens,11692
45650,M,Australian Shepherd,Brooklyn,11225
45651,F,Not Listed,Manhattan,10023
45652,F,American Pit Bull Terrier/Pit Bull,Brooklyn,11202
45653,F,Havanese,Manhattan,10022
45654,F,Not Listed,Staten Island,10309
45655,M,Shih Tzu,Staten Island,10309
45656,M,American Staffordshire Terrier ,Staten Island,10314
45657,M,Shetland Sheepdog,Brooklyn,11205
45658,M,Not Listed,Staten Island,10310
45659,F,Basenji,Bronx,10463
45660,M,Cairn Terrier,Brooklyn,11220
45661,M,Not Listed,Manhattan,10001
45662,F,Labrador Retriever,Brooklyn,11218
45663,M,Cavalier King Charles Spaniel,Manhattan,10009
45664,F,Not Listed,Brooklyn,11207
45665,F,Weimaraner,Brooklyn,11201
45666,M,Yorkshire Terrier,Bronx,10473
45667,M,Not Listed,Bronx,10467
45668,F,American Pit Bull Mix / Pit Bull Mix,Queens,11370
45669,M,Golden Retriever,Brooklyn,11212
45670,F,Greyhound,Brooklyn,11226
45671,F,Labrador Retriever,Queens,11414
45672,M,Pomeranian,Queens,11104
45673,M,Golden Retriever,Staten Island,10308
45674,M,Havanese,Manhattan,10003
45675,M,Labrador Retriever,Brooklyn,11205
45676,M,Not Listed,Brooklyn,11238
45677,F,American Pit Bull Terrier/Pit Bull,Queens,11372
45678,F,Yorkshire Terrier,Staten Island,10312
45679,M,Shih Tzu,Manhattan,10019
45680,F,Shih Tzu,Staten Island,10312
45681,M,Catahoula Leopard Dog,Brooklyn,11215
45682,M,Chihuahua Crossbreed,Manhattan,10009
45683,M,American Pit Bull Mix / Pit Bull Mix,Queens,11354
45684,F,Neapolitan Mastiff,Bronx,10465
45685,M,Chihuahua,Queens,11374
45686,M,French Bulldog,Brooklyn,11206
45687,F,Havanese,Manhattan,10075
45688,M,Labrador Retriever,Queens,11370
45689,F,Beagle Crossbreed,Manhattan,10003
45690,F,Chihuahua,Manhattan,10010
45691,F,Cocker Spaniel,Manhattan,10044
45692,F,American Pit Bull Terrier/Pit Bull,Manhattan,10012
45693,M,Toy Poodle,Brooklyn,11211
45694,M,Chihuahua Crossbreed,Manhattan,10019
45695,F,Brussels Griffon,Brooklyn,11201
45696,M,Yorkshire Terrier,Queens,11385
45697,F,Dachshund Crossbreed,Brooklyn,11222
45698,F,Maltese,Bronx,10470
45699,M,Not Listed,Manhattan,10024
45700,F,French Bulldog,Queens,11109
45701,F,Not Listed,Manhattan,10009
45702,F,American Pit Bull Terrier/Pit Bull,Staten Island,10308
45703,F,Terrier Crossbreed,Queens,11372
45704,F,Doberman Pinscher,Bronx,10465
45705,M,Poodle,Brooklyn,11215
45706,M,American Pit Bull Mix / Pit Bull Mix,Queens,11106
45707,M,Boxer,Brooklyn,11217
45708,F,Maltese,Brooklyn,11232
45709,M,Ibizan Hound,Brooklyn,11218
45710,M,English Bulldog,Staten Island,10305
45711,M,Jack Russell Terrier,Bronx,10461
45712,F,Shih Tzu,Brooklyn,11214
45713,F,Not Listed,Manhattan,10001
45714,F,Not Listed,Staten Island,10314
45715,F,Clumber Spaniel,Manhattan,10021
45716,M,German Shepherd Crossbreed,Manhattan,10013
45717,F,Shih Tzu,Brooklyn,11228
45718,F,Papillon,Bronx,10472
45719,M,Shiba Inu,Manhattan,10011
45720,M,Chihuahua,Manhattan,10033
45721,M,Poodle Crossbreed,Bronx,10468
45722,M,Beagle,Queens,11374
45723,M,Not Listed,Manhattan,10036
45724,F,American Pit Bull Mix / Pit Bull Mix,Manhattan,10012
45725,M,Labrador Retriever,Staten Island,10306
45726,F,Poodle,Brooklyn,11231
45727,M,West Highland White Terrier,Manhattan,10128
45728,M,Plott,Manhattan,10028
45729,F,Miniature Schnauzer,Manhattan,10019
45730,M,Golden Retriever,Manhattan,10023
45731,F,Maltese,Manhattan,10025
45732,M,American Pit Bull Terrier/Pit Bull,Brooklyn,11202
45733,M,French Bulldog,Manhattan,10014
45734,F,Labrador Retriever,Manhattan,10034
45735,F,Labrador Retriever,Queens,11358
45736,M,Chihuahua,Manhattan,10016
45737,M,Chihuahua,Bronx,10456
45738,F,Cocker Spaniel,Brooklyn,11201
45739,M,Lhasa Apso,Bronx,10469
45740,F,Shih Tzu,Manhattan,10016
45741,M,Not Listed,Queens,11377
45742,M,Labrador Retriever,Manhattan,10032
45743,M,American Bully,Bronx,10462
45744,M,Brussels Griffon,Brooklyn,11233
45745,M,Boxer,Manhattan,10036
45746,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,11214
45747,M,Shih Tzu,Manhattan,10025
45748,M,Not Listed,Queens,11354
45749,M,Wheaton Terrier,Queens,11356
45750,M,Boston Terrier,Manhattan,10005
45751,M,Dalmatian,Manhattan,10128
45752,M,Yorkshire Terrier Crossbreed,Queens,11691
45753,F,Not Listed,Manhattan,10025
45754,M,Not Listed,Manhattan,10007
45755,F,German Shepherd Dog,Queens,11364
45756,M,Jack Russell Terrier,Manhattan,10022
45757,F,French Bulldog,Manhattan,10010
45758,M,Shih Tzu,Staten Island,10303
45759,M,Not Listed,Bronx,10462
45760,F,American Pit Bull Mix / Pit Bull Mix,Queens,11103
45761,M,Not Listed,Richmond Hill,11418
45762,M,Yorkshire Terrier,Staten Island,10307
45763,M,Brittany,Manhattan,10024
45764,M,Havanese,Brooklyn,11228
45765,M,Terrier Crossbreed,Manhattan,10024
45766,M,Wirehaired Miniature Dachshund,Queens,11356
45767,M,Cocker Spaniel,Queens,11109
45768,F,Shih Tzu,Manhattan,10280
45769,M,Maltese,Bronx,10473
45770,M,Border Collie,Brooklyn,11215
45771,M,Not Listed,Manhattan,10025
45772,M,Havanese,Queens,11358
45773,F,Not Listed,Brooklyn,11216
45774,F,Poodle,Queens,11105
45775,F,Golden Retriever,Manhattan,10128
45776,M,Jack Russell Terrier,Brooklyn,11209
45777,F,Miniature Schnauzer,Queens,11413
45778,M,Not Listed,Brooklyn,11220
45779,M,Lhasa Apso,Manhattan,10029
45780,F,Labradoodle,Manhattan,10010
45781,F,Dachshund Smooth Coat Miniature,Queens,11362
45782,M,Cocker Spaniel,Queens,11109
45783,M,Airedale Terrier,Manhattan,10009
45784,F,Pointer,Brooklyn,11217
45785,F,American Pit Bull Terrier/Pit Bull,Brooklyn,11236
45786,F,American Pit Bull Terrier/Pit Bull,Manhattan,10036
45787,M,Pug,Bronx,10463
45788,M,Maltese,Brooklyn,11211
45789,F,Bearded Collie,Manhattan,10034
45790,M,Rottweiler,Queens,11362
45791,F,Chihuahua,Queens,11375
45792,M,Lhasa Apso,Queens,11367
45793,F,American Pit Bull Mix / Pit Bull Mix,Manhattan,10009
45794,F,Poodle Crossbreed,Queens,11102
45795,M,Not Listed,Brooklyn,11218
45796,F,Chihuahua,Manhattan,10025
45797,M,Shih Tzu,Queens,11362
45798,M,Boxer,Bronx,10472
45799,F,Not Listed,Brooklyn,11218
45800,M,Shih Tzu Crossbreed,Queens,11423
45801,M,Pug,Brooklyn,11225
45802,M,Miniature Schnauzer,Brooklyn,11219
45803,M,Beagle,Queens,11420
45804,F,Jack Russell Terrier,Manhattan,10019
45805,F,American Pit Bull Terrier/Pit Bull,Staten Island,10314
45806,F,Mastiff,Manhattan,10028
45807,F,French Bulldog,Manhattan,10013
45808,M,Cocker Spaniel,Brooklyn,11226
45840,M,American Pit Bull Terrier/Pit Bull,Brooklyn,11238
45809,M,Not Listed,Manhattan,10011
45810,M,Boxer,Brooklyn,11223
45811,M,Yorkshire Terrier,Queens,11385
45812,F,Maltese,Bronx,10467
45813,F,Poodle,Brooklyn,11229
45814,M,Chihuahua Crossbreed,Queens,11372
45815,M,French Bulldog,Manhattan,10013
45816,F,French Bulldog,Manhattan,10011
45817,F,Puggle,Manhattan,10024
45818,M,Miniature Poodle,Manhattan,10010
45819,F,Not Listed,Manhattan,10028
45820,F,Yorkshire Terrier,Brooklyn,11235
45821,F,Poodle,Manhattan,10027
45822,F,Akita,Bronx,10469
45823,F,American Pit Bull Mix / Pit Bull Mix,Manhattan,10009
45824,M,Shih Tzu,Manhattan,10014
45825,M,Miniature Schnauzer,Manhattan,10003
45826,M,Borzoi,Queens,11364
45827,M,English Cocker Spaniel,Brooklyn,11249
45828,F,Brussels Griffon,Manhattan,10014
45829,M,English Cocker Spaniel,Manhattan,10023
45830,M,Not Listed,Manhattan,10025
45831,M,Vizsla,Staten Island,10312
45832,F,Collie Crossbreed,Queens,11004
