breedname,breedgroup,assumedflag
Poodle,Non-Sporting,0
Poodle Crossbreed,Mixed,1
Portuguese Podengo Pequeno,Hound,0
Portuguese Water Dog,Working,0
Pug,Toy,0
Pug Crossbreed,Mixed,1
Puggle,Mixed,1
Puli,Herding,0
Pumi,Herding,0
Pyrenean Shepherd,Herding,0
Rat Terrier,Terrier,0
Rat Terrier Crossbreed,Mixed,1
Redbone Coonhound,Hound,0
Rhodesian Ridgeback,Hound,0
Rottweiler,Working,0
Rottweiler Crossbreed,Mixed,1
Rough Coat Collie,Herding,1
Russell Terrier,Terrier,0
Russian Toy,Miscellaneous,0
Saluki,Hound,0
Samoyed,Working,0
Schipperke,Non-Sporting,0
Schnauzer Crossbreed,Mixed,1
Scottish Deerhound,Hound,0
Scottish Terrier,Terrier,0
Sealyham Terrier,Terrier,0
Shetland Sheepdog,Herding,0
Shiba Inu,Non-Sporting,0
Shiba Inu Crossbreed,Mixed,1
Shih Tzu,Toy,0
Shih Tzu Crossbreed,Mixed,1
Siberian Husky,Working,0
Siberian Husky Crossbreed,Mixed,1
Silky Terrier,Toy,0
Skye Terrier,Terrier,0
Smooth Coat Collie,Herding,1
Smooth Fox Terrier,Terrier,0
Soft Coated Wheaten Terrier,Terrier,0
Spanish Water Dog,Herding,0
Spinone Italiano,Sporting,0
St. Bernard,Working,0
Staffordshire Bull Terrier,Terrier,0
Standard Schnauzer,Working,0
Sussex Spaniel,Sporting,0
Swedish Vallhund,Herding,0
Terrier Crossbreed,Mixed,1
Thai Ridgeback,Foundation Stock Service,0
Tibetan Mastiff,Working,0
Tibetan Spaniel,Non-Sporting,0
Tibetan Terrier,Non-Sporting,0
Toy Fox Terrier,Toy,0
Toy Poodle,Toy,0
Treeing Tennessee Brindle,Foundation Stock Service,0
Treeing Walker Coonhound,Hound,0
Not Listed,Unknown,0
Vizsla,Sporting,0
Weimaraner,Sporting,0
Welsh Springer Spaniel,Sporting,0
Welsh Terrier,Terrier,0
West Highland White Terrier,Terrier,0
Wheaton Terrier,Terrier,0
Whippet,Hound,0
Wire Fox Terrier,Terrier,0
Wirehaired Dachshund,Hound,1
Wirehaired Miniature Dachshund,Hound,1
Wirehaired Pointing Griffon,Sporting,0
Xoloitzcuintli,Non-Sporting,0
Yorkshire Terrier,Toy,0
Yorkshire Terrier Crossbreed,Mixed,1
