BreedName,HeightMin,HeightMax,WeightMin,WeightMax,LifeMin,LifeMax,AvgHeight,AvgWeight,AvgLife
German Shepherd Dog,22,26,50,90,7,10,24,70,8.5
German Shorthaired Pointer,21,25,45,70,10,12,23,57.5,11
German Spitz,12,15,24,26,13,15,13.5,25,14
German Wirehaired Pointer,22,26,50,70,14,16,24,60,15
Giant Schnauzer,23.5,27.5,55,85,12,15,25.5,70,13.5
Glen of Imaal Terrier,12.5,14,32,40,10,15,13.25,36,12.5
Golden Retriever,21.5,24,55,75,10,12,22.75,65,11
Goldendoodle,,,,,,,,,
Gordon Setter,23,27,45,80,12,13,25,62.5,12.5
Grand Basset Griffon Vendeen,15.5,18,40,45,13,15,16.75,42.5,14
Great Dane,28,32,110,175,7,10,30,142.5,8.5
Great Pyrenees,25,32,85,100,10,12,28.5,92.5,11
Greater Swiss Mountain Dog,23.5,28.5,85,140,8,11,26,112.5,9.5
Greyhound,27,30,60,70,10,13,28.5,65,11.5
Hamiltonstovare,19,24,40,75,14,17,21.5,57.5,15.5
Harrier,19,21,45,60,12,15,20,52.5,13.5
Havanese,8.5,11.5,7,13,14,16,10,10,15
Ibizan Hound,22.5,27.5,45,50,11,14,25,47.5,12.5
Irish Red and White Setter,22.5,26,35,60,11,15,24.25,47.5,13
Irish Setter,25,27,60,70,12,15,26,65,13.5
Irish Terrier,18,18,25,27,13,15,18,26,14
Irish Wolfhound,30,32,105,120,6,8,31,112.5,7
Italian Greyhound,13,15,7,14,14,15,14,10.5,14.5
Jack Russell Terrier,,,,,,,,,
Japanese Chin,8,11,7,11,10,12,9.5,9,11
Japanese Chin/Spaniel,,,,,,,,,
Jindo,18,22,30,50,14,14,20,40,14
Karelian Bear Dog,19,23.5,44,49,11,13,21.25,46.5,12
Keeshond,17,18,35,45,12,15,17.5,40,13.5
Kerry Blue Terrier,17.5,19.5,33,40,12,15,18.5,36.5,13.5
Kooikerhondje,14,17,20,30,12,15,15.5,25,13.5
Kromfohrlander,15,18,20,35,13,15,16.5,27.5,14
Kuvasz,26,30,70,115,10,12,28,92.5,11
Labradoodle,,,,,,,,,
Labrador Retriever,21.5,24.5,55,80,10,12,23,67.5,11
Labrador Retriever Crossbreed,,,,,,,,,
Lagotto Romagnolo,16,19,24,35,15,17,17.5,29.5,16
Lakeland Terrier,14,15,17,17,12,15,14.5,17,13.5
Leonberger,25.5,31.5,90,170,9,9,28.5,130,9
Lhasa Apso,11,10,12,18,12,15,10.5,15,13.5
Long Haired Dachshund,,,,,,,,,
Long Haired Miniature Dachshund,,,,,,,,,
Lowchen,11,13,10,15,15,15,12,12.5,15
Maltese,7,9,7,7,12,15,8,7,13.5
Maltese Crossbreed,,,,,,,,,
Maltipoo,,,,,,,,,
Manchester Terrier,15,16,12,22,15,17,15.5,17,16
Mastiff,27.5,30,120,230,6,10,28.75,175,8
Miniature American Shepherd,13,18,20,40,12,13,15.5,30,12.5
