breedname,avgweight,avglife
Schnauzer Crossbreed,18,14.5
Scottish Deerhound,92.5,9.5
Scottish Terrier,20,12
Sealyham Terrier,23.5,13
Shetland Sheepdog,20,13
Shiba Inu,20,14.5
Shiba Inu Crossbreed,13,14.5
Shih Tzu,12.5,14
Shih Tzu Crossbreed,16,14
Siberian Husky,47.5,13
Siberian Husky Crossbreed,40,13
Silky Terrier,10,14
Skye Terrier,40,13
Smooth Coat Collie,50,13.5
Smooth Fox Terrier,16.5,13.5
Soft Coated Wheaten Terrier,35,13
Spanish Water Dog,40,13
Spinone Italiano,73,11
St. Bernard,150,9
Staffordshire Bull Terrier,31,13
Standard Schnauzer,40,14.5
Sussex Spaniel,40,14
Swedish Vallhund,27.5,13.5
Terrier Crossbreed,15,14
Thai Ridgeback,55,12.5
Tibetan Mastiff,110,11
Tibetan Spaniel,12,13.5
Tibetan Terrier,24,15.5
Toy Fox Terrier,5.25,14
Toy Poodle,5,14
Treeing Tennessee Brindle,40,11
Treeing Walker Coonhound,60,12.5
Vizsla,52,13
Weimaraner,72.5,11.5
Welsh Springer Spaniel,45,13.5
Welsh Terrier,20,13.5
West Highland White Terrier,17.5,14
Wheaton Terrier,35,13
Whippet,32.5,13.5
Wire Fox Terrier,16.5,13.5
Wirehaired Dachshund,24,14
Wirehaired Miniature Dachshund,10,14
Wirehaired Pointing Griffon,52.5,13.5
Xoloitzcuintli,42.5,15.5
Yorkshire Terrier,7,13
Yorkshire Terrier Crossbreed,5,13
