city,borough,licensecount,Latitude,Longitude
,New York,,,
New York,Bronx,7867,40.837048,-73.865433
New York,Brooklyn,18767,40.650002,-73.949997
New York,Staten Island,7421,40.579027,-74.151535
New York,Manhattan,26493,40.758896,-73.98513
New York,Queens,16009,40.742054,-73.769417
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
